*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052689,Generation,2006,NA,48WSTN0000CAIRBU,0.0,42.0,NA,CAIRB,Y,NGET-EMFIP-CONF-00000849,2006-05-10
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052689,Generation,2006,2__PSTAT001,48W00000CAIRW-2E,,42.0,CAIRW-2,CAIRW-2,Y,NGET-EMFIP-CONF-00000849,2006-05-10
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052675,Generation,2006,NA,48WSTN0000CAUSWB,0.0,0.0,NA,CAUSW,Y,NGET-EMFIP-CONF-00000849,2006-02-08
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052674,Generation,2006,NA,48WSTN1000NOVAWQ,132.0,17.0,NA,NOVAW,Y,NGET-EMFIP-CONF-00000849,2006-01-24
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052674,Generation,2006,NA,48W00000NOVAW-1M,,17.0,NA,NOVAW-1,Y,NGET-EMFIP-CONF-00000849,2006-01-24
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052636,Generation,2006,NA,48WSTN0000DEUCWX,132.0,16.0,NA,DEUCW,Y,NGET-EMFIP-CONF-00000849,2006-02-03
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052636,Generation,2006,NA,48W00000DEUCW-1K,,16.0,NA,DEUCW-1,Y,NGET-EMFIP-CONF-00000849,2006-02-03
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052624,Generation,2006,NA,48WSTN0000BOYNWK,132.0,22.0,NA,BOYNW,Y,NGET-EMFIP-CONF-00000849,2006-02-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052624,Generation,2006,NA,48W00000BOYNW-1Z,,22.0,NA,BOYNW-1,Y,NGET-EMFIP-CONF-00000849,2006-02-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052611,Generation,2006,E_BRDUW-1,48W00000BRDUW-1V,,74.0,BRDUW-1,BRDUW-1,Y,NGET-EMFIP-CONF-00000849,2006-08-30
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052611,Generation,2006,NA,48WSTN0000BRDUWV,0.0,74.0,NA,BRDUW,Y,NGET-EMFIP-CONF-00000849,2006-08-30
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052588,Generation,2006,NA,48W00000EARBW-1Q,,35.0,NA,EARBW-1,Y,NGET-EMFIP-CONF-00000849,2006-10-03
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052588,Generation,2006,NA,48WSTN0000EARBWP,132.0,35.0,NA,EARBW,Y,NGET-EMFIP-CONF-00000849,2006-10-03
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052530,Generation,2006,NA,48WSTN0000CAIRWP,0.0,51.0,NA,CAIRW,Y,NGET-EMFIP-CONF-00000849,2006-05-10
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052530,Generation,2006,NA,48W00000CAIRW-1G,,51.0,NA,CAIRW-1,Y,NGET-EMFIP-CONF-00000849,2006-05-10
<EOF>
