*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052685,Generation,2010,NA,48WSTN00000PEMBL,0.0,0.0,NA,PEMB,Y,NGET-EMFIP-CONF-00000849,2010-11-26
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052684,Generation,2010,NA,48WSTN0000CLDSWO,275.0,128.0,NA,CLDSW,Y,NGET-EMFIP-CONF-00000849,2010-10-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052684,Generation,2010,T_CLDSW-1,48W00000CLDSW-11,,128.0,CLDSW-1,CLDSW-1,Y,NGET-EMFIP-CONF-00000849,2010-10-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052680,Generation,2010,T_ARCHW-1,48W10000ARCHW-1N,,120.0,ARCHW-1,ARCHW-1,Y,NGET-EMFIP-CONF-00000849,2010-08-03
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052680,Generation,2010,NA,48WSTN0000ARCHW6,275.0,120.0,NA,ARCHW,Y,NGET-EMFIP-CONF-00000849,2010-08-03
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052637,Generation,2010,NA,48WSTN0000SHRSW3,400.0,314.0,NA,SHRSW,Y,NGET-EMFIP-CONF-00000849,2010-10-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052637,Generation,2010,T_SHRSW-1,48W00000SHRSO-1Y,,157.0,SHRSO-1,SHRSO-1,Y,NGET-EMFIP-CONF-00000849,2010-10-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052637,Generation,2010,T_SHRSW-2,48W00000SHRSO-2W,,157.0,SHRSO-2,SHRSO-2,Y,NGET-EMFIP-CONF-00000849,2010-10-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052629,Generation,2010,T_WBURB-1,48W00000WBURB-19,,450.0,WBURB-1,WBURB-1,Y,NGET-EMFIP-CONF-00000849,2010-05-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052629,Generation,2010,T_WBURB-2,48W00000WBURB-27,,460.0,WBURB-2,WBURB-2,Y,NGET-EMFIP-CONF-00000849,2010-05-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052629,Generation,2010,T_WBURB-3,48W00000WBURB-35,,450.0,WBURB-3,WBURB-3,Y,NGET-EMFIP-CONF-00000849,2010-05-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052629,Generation,2010,NA,48WSTN0000WBURB5,400.0,1360.0,NA,WBURB,Y,NGET-EMFIP-CONF-00000849,2010-05-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052608,Generation,2010,NA,48WSTN0000WLNYWV,400.0,366.0,NA,WLNYW,Y,NGET-EMFIP-CONF-00000849,2010-10-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052608,Generation,2010,T_WLNYW-1,48W00000WLNYW-1A,,183.0,WLNYW-1,WLNYW-1,Y,NGET-EMFIP-CONF-00000849,2010-10-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052608,Generation,2010,T_WLNYO-2,48W00000WLNYO-23,,183.0,WLNYO-2,WLNYO-2,Y,NGET-EMFIP-CONF-00000849,2010-10-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052607,Generation,2010,T_RRWW-1,48W000000RRWW-1P,,90.0,RRWW-1,RRWW-1,Y,NGET-EMFIP-CONF-00000849,2010-05-26
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052607,Generation,2010,NA,48WSTN00000RRWWZ,275.0,90.0,NA,RRWW,Y,NGET-EMFIP-CONF-00000849,2010-05-26
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052596,Generation,2010,NA,48WSTN0000ANSUWY,0.0,0.0,NA,ANSUW,Y,NGET-EMFIP-CONF-00000849,2010-04-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052594,Generation,2010,T_BOWLW-1,48W00000BOWLW-1K,,90.0,BOWLW-1,BOWLW-1,Y,NGET-EMFIP-CONF-00000849,2010-06-24
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052594,Generation,2010,NA,48WSTN0000BOWLWY,400.0,90.0,NA,BOWLW,Y,NGET-EMFIP-CONF-00000849,2010-06-24
