*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Consumption unit,Modification,NGET-EMFIP-CONF-TS-00052758,Load,2015,NA,48W00000POTAD-1K,,130.0,POTAD-1,POTAD-1,Y,NGET-EMFIP-CONF-00001622,2015-04-17
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052723,Generation,2015,NA,48W00000LNMTH-3N,,133.0,LNMTH-3,LNMTH-3,Y,NGET-EMFIP-CONF-00001502,2015-03-06
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052723,Generation,2015,NA,48WSTN0000LNMTHP,275.0,133.0,LNMTH,LNMTH,Y,NGET-EMFIP-CONF-00001502,2015-03-06
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052722,Generation,2015,NA,48W00000LNMTH-2P,,133.0,LNMTH-2,LNMTH-2,Y,NGET-EMFIP-CONF-00001502,2015-03-06
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052721,Generation,2015,NA,48W00000LNMTH-1R,,133.0,LNMTH-1,LNMTH-1,Y,NGET-EMFIP-CONF-00001502,2015-03-06
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052720,Generation,2015,T_USKM-15,48W00000USKM-15P,,121.0,USKM-15,USKM-15,Y,NGET-EMFIP-CONF-00001502,2015-03-06
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052720,Generation,2015,NA,48WSTN00000USKMZ,275.0,121.0,USKM,USKM,Y,NGET-EMFIP-CONF-00001502,2015-03-06
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052719,Generation,2015,T_USKM-14,48W00000USKM-14R,,121.0,USKM-14,USKM-14,Y,NGET-EMFIP-CONF-00001502,2015-03-06
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052718,Generation,2015,T_USKM-13,48W00000USKM-13T,,121.0,USKM-13,USKM-13,Y,NGET-EMFIP-CONF-00001502,2015-03-06
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052699,Generation,2015,NA,48W000000GRAI-43,,675.0,NA,GRAI-4,Y,NGET-EMFIP-CONF-00001483,2015-02-27
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052699,Generation,2015,NA,48WSTN10000GRAIQ,400.0,675.0,GRAI,GRAI,Y,NGET-EMFIP-CONF-00001483,2015-02-27
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00052698,Generation,2015,NA,48W000000GRAI-19,,675.0,NA,GRAI-1,Y,NGET-EMFIP-CONF-00001483,2015-02-27
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002130,"Fossil Gas",2015,NA,48WSTN00000DEEP3,400.0,260.0,NA,DEEP,Y,NGET-EMFIP-CONF-00000143,2015-03-31
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002130,"Fossil Gas",2015,T_DEEP-1,48W000000DEEP-1N,,260.0,DEEP-1,DEEP-1,Y,NGET-EMFIP-CONF-00000143,2015-03-31
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002013,"Fossil Gas",2015,E_BRYP-1,48W000000BRYP-17,,245.0,BRYP-1,BRYP-1,Y,NGET-EMFIP-CONF-00000143,2015-03-31
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002013,"Fossil Gas",2015,NA,48WSTN00000BRYPC,275.0,245.0,NA,BRYP,Y,NGET-EMFIP-CONF-00000143,2015-03-31
<EOF>
