*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052625,Generation,2011,NA,48WSTN0000CLDCWZ,275.0,112.0,NA,CLDCW,Y,NGET-EMFIP-CONF-00000849,2011-08-04
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052625,Generation,2011,T_CLDCW-1,48W00000CLDCW-17,,112.0,CLDCW-1,CLDCW-1,Y,NGET-EMFIP-CONF-00000849,2011-08-04
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052610,Generation,2011,NA,48WSTN0000RHYFWK,0.0,0.0,NA,RHYFW,Y,NGET-EMFIP-CONF-00000849,2011-02-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052609,Generation,2011,NA,48WSTN0000NHOYWR,0.0,0.0,NA,NHOYW,Y,NGET-EMFIP-CONF-00000849,2011-02-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052605,Generation,2011,NA,48WSTN0000GORDWB,275.0,70.0,NA,GORDW,Y,NGET-EMFIP-CONF-00000849,2011-10-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052605,Generation,2011,T_GORDW-1,48W00000GORDW-1D,,70.0,GORDW-1,GORDW-1,Y,NGET-EMFIP-CONF-00000849,2011-10-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052595,Generation,2011,T_OMNDW-1,48W00000OMNDO-1J,,150.0,OMNDO-1,OMNDO-1,Y,NGET-EMFIP-CONF-00000849,2011-01-19
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052595,Generation,2011,NA,48WSTN0000OMNDWQ,400.0,150.0,NA,OMNDW,Y,NGET-EMFIP-CONF-00000849,2011-01-19
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052593,Generation,2011,T_CLDNW-1,48W00000CLDNW-1Q,,108.0,CLDNW-1,CLDNW-1,Y,NGET-EMFIP-CONF-00000849,2011-08-04
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052593,Generation,2011,NA,48WSTN0000CLDNW2,275.0,108.0,NA,CLDNW,Y,NGET-EMFIP-CONF-00000849,2011-08-04
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052553,Generation,2011,T_GRIFW-1,48W10000GRIFW-1N,,102.0,GRIFW-1,GRIFW-1,Y,NGET-EMFIP-CONF-00000849,2011-01-26
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052553,Generation,2011,T_GRIFW-2,48W00000GRIFW-2Y,,102.0,GRIFW-2,GRIFW-2,Y,NGET-EMFIP-CONF-00000849,2011-01-26
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052553,Generation,2011,NA,48WSTN0000GRIFWQ,132.0,204.0,NA,GRIFW,Y,NGET-EMFIP-CONF-00000849,2011-01-26
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052537,Generation,2011,NA,48WSTN0000LARYWP,400.0,720.0,NA,LARYW,Y,NGET-EMFIP-CONF-00000849,2011-11-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052537,Generation,2011,T_LARYW-1,48W00000LARYO-1Z,,180.0,LARYO-1,LARYO-1,Y,NGET-EMFIP-CONF-00000849,2011-11-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052537,Generation,2011,T_LARYW-2,48W00000LARYO-2X,,180.0,LARYO-2,LARYO-2,Y,NGET-EMFIP-CONF-00000849,2011-11-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052537,Generation,2011,T_LARYW-3,48W00000LARYO-3V,,180.0,LARYO-3,LARYO-3,Y,NGET-EMFIP-CONF-00000849,2011-11-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052537,Generation,2011,T_LARYW-4,48W00000LARYO-4T,,180.0,LARYO-4,LARYO-4,Y,NGET-EMFIP-CONF-00000849,2011-11-15
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052519,Generation,2011,NA,48WSTN0000LNCSW1,400.0,500.0,NA,LNCSW,Y,NGET-EMFIP-CONF-00000849,2011-06-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052519,Generation,2011,NA,48W00000LNCSW-3S,,0.0,NA,LNCSW-3,Y,NGET-EMFIP-CONF-00000849,2011-06-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052519,Generation,2011,T_LNCSW-1,48W00000LNCSO-1R,,250.0,LNCSO-1,LNCSO-1,Y,NGET-EMFIP-CONF-00000849,2011-06-28
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052519,Generation,2011,T_LNCSW-2,48W00000LNCSO-2P,,250.0,LNCSO-2,LNCSO-2,Y,NGET-EMFIP-CONF-00000849,2011-06-28
Configuration document,Consumption unit,Creation,NGET-EMFIP-CONF-TS-00052517,Load,2011,T_BAGTD-1,48W00000BAGTD-1S,,10.0,BAGTD-1,BAGTD-1,Y,NGET-EMFIP-CONF-00000847,2011-01-12
<EOF>
