*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052682,Generation,2009,NA,48WSTN0000GRAINU,400.0,1365.0,NA,GRAIN,Y,NGET-EMFIP-CONF-00000849,2009-07-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052682,Generation,2009,T_GRAI-6,48W100000GRAI-6N,,455.0,GRAI-6,GRAI-6,Y,NGET-EMFIP-CONF-00000849,2009-07-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052682,Generation,2009,T_GRAI-7,48W000000GRAI-7Y,,455.0,GRAI-7,GRAI-7,Y,NGET-EMFIP-CONF-00000849,2009-07-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052682,Generation,2009,T_GRAI-8,48W000000GRAI-8W,,455.0,GRAI-8,GRAI-8,Y,NGET-EMFIP-CONF-00000849,2009-07-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052681,Generation,2009,T_EDINW-1,48W10000EDINW-1N,,42.0,EDINW-1,EDINW-1,Y,NGET-EMFIP-CONF-00000849,2009-08-20
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052681,Generation,2009,NA,48WSTN0000EDINWA,132.0,42.0,NA,EDINW,Y,NGET-EMFIP-CONF-00000849,2009-08-20
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052631,Generation,2009,T_SVRP-20,48W00000SVRP-207,,425.0,SVRP-20,SVRP-20,Y,NGET-EMFIP-CONF-00000849,2009-11-13
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052631,Generation,2009,T_SVRP-10,48W00000SVRP-10A,,425.0,SVRP-10,SVRP-10,Y,NGET-EMFIP-CONF-00000849,2009-11-13
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052631,Generation,2009,NA,48WSTN00000SVRP6,275.0,850.0,NA,SVRP,Y,NGET-EMFIP-CONF-00000849,2009-11-13
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052628,Generation,2009,T_TDBNW-1,48W00000TDBNW-1W,,28.0,TDBNW-1,TDBNW-1,Y,NGET-EMFIP-CONF-00000849,2009-07-30
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052628,Generation,2009,NA,48WSTN0000TDBNWM,0.0,28.0,NA,TDBNW,Y,NGET-EMFIP-CONF-00000849,2009-07-30
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052627,Generation,2009,NA,48WSTN0000GRGBW9,400.0,668.0,NA,GRGBW,Y,NGET-EMFIP-CONF-00000849,2009-11-25
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052627,Generation,2009,T_GRGBW-1,48W00000GRGBW-1V,,334.0,GRGBW-1,GRGBW-1,Y,NGET-EMFIP-CONF-00000849,2009-11-25
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052627,Generation,2009,T_GRGBW-2,48W00000GRGBW-2T,,167.0,GRGBW-2,GRGBW-2,Y,NGET-EMFIP-CONF-00000849,2009-11-25
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052627,Generation,2009,T_GRGBW-3,48W00000GRGBW-3R,,167.0,GRGBW-3,GRGBW-3,Y,NGET-EMFIP-CONF-00000849,2009-11-25
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052590,Generation,2009,T_CRYRW-2,48W00000CRYRW-2L,,200.0,CRYRW-2,CRYRW-2,Y,NGET-EMFIP-CONF-00000849,2009-12-11
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052590,Generation,2009,NA,48WSTN0000CRYRBT,132.0,200.0,NA,CRYRB,Y,NGET-EMFIP-CONF-00000849,2009-12-11
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052566,Generation,2009,NA,48WSTN00000STAYA,0.0,0.0,NA,STAY,Y,NGET-EMFIP-CONF-00000849,2009-03-26
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052532,Generation,2009,NA,48WSTN0000GNFSWJ,400.0,165.0,NA,GNFSW,Y,NGET-EMFIP-CONF-00000849,2009-07-01
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052532,Generation,2009,T_GNFSW-1,48W00000GNFSW-1H,,100.0,GNFSW-1,GNFSW-1,Y,NGET-EMFIP-CONF-00000849,2009-07-01
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052532,Generation,2009,T_GNFSW-2,48W00000GNFSW-2F,,65.0,GNFSW-2,GNFSW-2,Y,NGET-EMFIP-CONF-00000849,2009-07-01
<EOF>
