*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052678,Generation,2007,E_DALSW-1,48W00000DALSW-1M,,30.0,DALSW-1,DALSW-1,Y,NGET-EMFIP-CONF-00000849,2007-11-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052678,Generation,2007,NA,48WSTN0000DALSW4,132.0,30.0,NA,DALSW,Y,NGET-EMFIP-CONF-00000849,2007-11-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052677,Generation,2007,T_WHILW-1,48W00000WHILW-1M,,322.0,WHILW-1,WHILW-1,Y,NGET-EMFIP-CONF-00000849,2007-09-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052677,Generation,2007,T_WHILW-2,48W00000WHILW-2K,,238.0,WHILW-2,WHILW-2,Y,NGET-EMFIP-CONF-00000849,2007-09-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052677,Generation,2007,NA,48WSTN1000WHILWQ,275.0,560.0,NA,WHILW,Y,NGET-EMFIP-CONF-00000849,2007-09-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052676,Generation,2007,NA,48WSTN00000STCRI,132.0,45.0,NA,STCR,Y,NGET-EMFIP-CONF-00000849,2007-09-18
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052676,Generation,2007,NA,48W000000STCR-1F,,45.0,NA,STCR-1,Y,NGET-EMFIP-CONF-00000849,2007-09-18
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052606,Generation,2007,NA,48W00000CRYRW-1N,,63.0,NA,CRYRW-1,Y,NGET-EMFIP-CONF-00000849,2007-03-13
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052606,Generation,2007,NA,48WSTN0000CRYRWO,400.0,63.0,NA,CRYRW,Y,NGET-EMFIP-CONF-00000849,2007-03-13
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052589,Generation,2007,T_MILWW-1,48W00000MILWW-1M,,65.0,MILWW-1,MILWW-1,Y,NGET-EMFIP-CONF-00000849,2007-11-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052589,Generation,2007,NA,48WSTN0000MILWW9,132.0,65.0,NA,MILWW,Y,NGET-EMFIP-CONF-00000849,2007-11-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052570,Generation,2007,T_KILBW-1,48W00000KILBW-1W,,67.0,KILBW-1,KILBW-1,Y,NGET-EMFIP-CONF-00000849,2007-11-09
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052570,Generation,2007,NA,48WSTN0000KILBWA,275.0,67.0,NA,KILBW,Y,NGET-EMFIP-CONF-00000849,2007-11-09
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052551,Generation,2007,NA,48W00000BNAKW-1G,,28.0,NA,BNAKW-1,Y,NGET-EMFIP-CONF-00000849,2007-09-07
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052551,Generation,2007,NA,48WSTN0000BNAKWJ,132.0,28.0,NA,BNAKW,Y,NGET-EMFIP-CONF-00000849,2007-09-07
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052531,Generation,2007,NA,48WSTN0000MINSWD,132.0,38.0,NA,MINSW,Y,NGET-EMFIP-CONF-00000849,2007-11-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052531,Generation,2007,E_MINSW-1,48W00000MINSW-1U,,38.0,MINSW-1,MINSW-1,Y,NGET-EMFIP-CONF-00000849,2007-11-27
<EOF>
