*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052679,Generation,2008,E_BURBO,48W00000BURBW-1L,,90.0,BURBW-1,BURBW-1,Y,NGET-EMFIP-CONF-00000849,2008-06-03
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052679,Generation,2008,NA,48WSTN0000BURBWH,275.0,90.0,NA,BURBW,Y,NGET-EMFIP-CONF-00000849,2008-06-03
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052652,Generation,2008,NA,48W00000DRDGW-1B,,32.0,NA,DRDGW-1,Y,NGET-EMFIP-CONF-00000849,2008-02-21
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052652,Generation,2008,NA,48WSTN0000DRDGWO,132.0,32.0,NA,DRDGW,Y,NGET-EMFIP-CONF-00000849,2008-02-21
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052626,Generation,2008,NA,48WSTN00000MRWDO,400.0,920.0,NA,MRWD,Y,NGET-EMFIP-CONF-00000849,2008-08-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052626,Generation,2008,T_MRWD-1,48W000000MRWD-1P,,920.0,MRWD-1,MRWD-1,Y,NGET-EMFIP-CONF-00000849,2008-08-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052592,Generation,2008,T_GLNDO-1,48W00000GLNDO-1G,,100.0,GLNDO-1,GLNDO-1,Y,NGET-EMFIP-CONF-00000849,2008-11-06
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052592,Generation,2008,NA,48WSTN0000GLNDOL,132.0,100.0,NA,GLNDO,Y,NGET-EMFIP-CONF-00000849,2008-11-06
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052569,Generation,2008,T_LAGA-1,48W000000LAGA-14,,905.0,LAGA-1,LAGA-1,Y,NGET-EMFIP-CONF-00000849,2008-06-19
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052569,Generation,2008,NA,48WSTN00000LAGA3,400.0,905.0,NA,LAGA,Y,NGET-EMFIP-CONF-00000849,2008-06-19
<EOF>
