*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052639,Generation,2014,NA,48WSTN0000HMGTOR,400.0,219.0,NA,HMGTO,Y,NGET-EMFIP-CONF-00000849,2014-06-21
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052639,Generation,2014,NA,48W00000HMGTO-10,,108.0,NA,HMGTO-1,Y,NGET-EMFIP-CONF-00000849,2014-06-21
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052639,Generation,2014,NA,48W00000HMGTO-2Z,,111.0,NA,HMGTO-2,Y,NGET-EMFIP-CONF-00000849,2014-06-21
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052598,Generation,2014,T_WTMSO-1,48W00000WTMSO-1M,,210.0,WTMSO-1,WTMSO-1,Y,NGET-EMFIP-CONF-00000849,2014-03-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052598,Generation,2014,NA,48WSTN0000WTMSOT,275.0,210.0,NA,WTMSO,Y,NGET-EMFIP-CONF-00000849,2014-03-27
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052555,Generation,2014,T_CARR-1,48W000000CARR-1I,,455.0,CARR-1,CARR-1,Y,NGET-EMFIP-CONF-00000849,2014-05-31
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052555,Generation,2014,T_CARR-2,48W000000CARR-2G,,455.0,CARR-2,CARR-2,Y,NGET-EMFIP-CONF-00000849,2014-05-31
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052555,Generation,2014,NA,48WSTN00000CARRI,275.0,910.0,CARR,CARR,Y,NGET-EMFIP-CONF-00000849,2014-05-31
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052538,Generation,2014,NA,48WSTN0000TULWBN,132.0,25.0,NA,TULWB,Y,NGET-EMFIP-CONF-00000849,2014-01-10
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052538,Generation,2014,E_TULWW-2,48W00000TULWW-2S,,25.0,TULWW-2,TULWW-2,Y,NGET-EMFIP-CONF-00000849,2014-01-10
Configuration document,Consumption unit,Creation,NGET-EMFIP-CONF-TS-00052518,Load,2014,E__MDRX001,48W00000DRAXD-1K,,60.0,DRAXD-1,DRAXD-1,Y,NGET-EMFIP-CONF-00000847,2014-01-14
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002115,"Hydro Pumped Storage",2014,NA,48WSTN0000LNMTHP,270.0,399.0,NA,LNMTH,Y,NGET-EMFIP-CONF-00000142,2014-07-03
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002115,"Fossil Gas",2014,NA,48W00000LNMTH-1R,,133.0,NA,LNMTH-1,Y,NGET-EMFIP-CONF-00000142,2014-07-03
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002115,"Fossil Gas",2014,NA,48W00000LNMTH-2P,,133.0,NA,LNMTH-2,Y,NGET-EMFIP-CONF-00000142,2014-07-03
Configuration document,Production unit,Modification,NGET-EMFIP-CONF-TS-00002115,"Fossil Gas",2014,NA,48W00000LNMTH-3N,,133.0,NA,LNMTH-3,Y,NGET-EMFIP-CONF-00000142,2014-07-03
Configuration document,Consumption unit,Creation,NGET-EMFIP-CONF-TS-00002003,Load,2014,E_MANXENR-1,48W000MANXENR-12,,67.0,MANXENR-1,MANXENR-1,Y,NGET-EMFIP-CONF-00000105,2014-11-10
Configuration document,Consumption unit,Creation,NGET-EMFIP-CONF-TS-00002003,Load,2014,NA,48WSTN0000MANXE0,,67.0,MANXE,MANXE,Y,NGET-EMFIP-CONF-00000105,2014-11-10
Configuration document,Consumption unit,Creation,NGET-EMFIP-CONF-TS-00002001,Load,2014,T_EGGPS-D,48W00000EGGPD-1J,,55.0,EGGPD-1,EGGPD-1,Y,NGET-EMFIP-CONF-00000105,2014-11-10
Configuration document,Consumption unit,Creation,NGET-EMFIP-CONF-TS-00002001,Load,2014,NA,48WSTN0000EGGPS5,,55.0,EGGPS,EGGPS,Y,NGET-EMFIP-CONF-00000105,2014-11-10
Configuration document,Consumption unit,Creation,NGET-EMFIP-CONF-TS-00001999,Load,2014,T_BPGRD-1,48W00000BPGRD-17,,120.0,BPGRD-1,BPGRD-1,Y,NGET-EMFIP-CONF-00000105,2014-11-10
Configuration document,Consumption unit,Creation,NGET-EMFIP-CONF-TS-00001999,Load,2014,NA,48WSTN0000BPGRD2,,120.0,BPGRD,BPGRD,Y,NGET-EMFIP-CONF-00000105,2014-11-10
<EOF>
