*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052673,Generation,2005,NA,48WSTN00000GRUBR,132.0,34.0,NA,GRUB,Y,NGET-EMFIP-CONF-00000849,2005-03-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052673,Generation,2005,NA,48W000000GRUB-1B,,17.0,NA,GRUB-1,Y,NGET-EMFIP-CONF-00000849,2005-03-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052673,Generation,2005,NA,48W000000GRUB-29,,17.0,NA,GRUB-2,Y,NGET-EMFIP-CONF-00000849,2005-03-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052672,Generation,2005,NA,48WSTN000LBAR-G1,0.0,0.0,NA,LBAR-G,Y,NGET-EMFIP-CONF-00000849,2005-11-17
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052671,Generation,2005,NA,48WSTN00000BLLAV,132.0,134.0,NA,BLLA,Y,NGET-EMFIP-CONF-00000849,2005-03-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052671,Generation,2005,T_BLLA-1,48W000000BLLA-1K,,134.0,BLLA-1,BLLA-1,Y,NGET-EMFIP-CONF-00000849,2005-03-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052669,Generation,2005,NA,48WSTN0000GLOFWW,132.0,26.0,NA,GLOFW,Y,NGET-EMFIP-CONF-00000849,2005-04-21
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052669,Generation,2005,E_GLOFW-1,48W00000GLOFW-15,,26.0,GLOFW-1,GLOFW-1,Y,NGET-EMFIP-CONF-00000849,2005-04-21
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052662,Generation,2005,NA,48WSTN0000FAARW2,0.0,0.0,NA,FAARW,Y,NGET-EMFIP-CONF-00000849,2005-09-19
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052661,Generation,2005,M_SLOY-4,48W000000SLOY-46,,33.0,SLOY-4,SLOY-4,Y,NGET-EMFIP-CONF-00000849,2005-03-29
