*
*
*postInstalledGenerationCapacityPerUnit (B1420) Data
*
*Document Type,Business Type,Process Type,Time Series ID,Power System Resource  Type,Year,BM Unit ID,Registered Resource EIC Code,Voltage limit,Nominal,NGC BM Unit ID,Registered Resource Name,Active Flag,Document ID,Implementation Date
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052660,Generation,2012,NA,48WSTN0000CRGHWF,132.0,46.0,NA,CRGHW,Y,NGET-EMFIP-CONF-00000849,2012-07-04
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052660,Generation,2012,T_CRGHW-1,48W00000CRGHW-1X,,46.0,CRGHW-1,CRGHW-1,Y,NGET-EMFIP-CONF-00000849,2012-07-04
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052658,Generation,2012,NA,48WSTN0000WDNSWF,400.0,382.0,NA,WDNSW,Y,NGET-EMFIP-CONF-00000849,2012-08-31
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052658,Generation,2012,T_WDNSW-2,48W00000WDNSW-2K,,191.0,WDNSW-2,WDNSW-2,Y,NGET-EMFIP-CONF-00000849,2012-08-31
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052658,Generation,2012,T_WDNSW-1,48W00000WDNSW-1M,,191.0,WDNSW-1,WDNSW-1,Y,NGET-EMFIP-CONF-00000849,2012-08-31
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052657,Generation,2012,NA,48WSTN0000FALGWS,400.0,144.0,NA,FALGW,Y,NGET-EMFIP-CONF-00000849,2012-09-04
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052657,Generation,2012,T_FALGW-1,48W00000FALGW-1T,,144.0,FALGW-1,FALGW-1,Y,NGET-EMFIP-CONF-00000849,2012-09-04
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052635,Generation,2012,NA,48WSTN0000GFLDW6,400.0,32.0,NA,GFLDW,Y,NGET-EMFIP-CONF-00000849,2012-09-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052635,Generation,2012,E_GFLDW-1,48W00000GFLDW-11,,32.0,GFLDW-1,GFLDW-1,Y,NGET-EMFIP-CONF-00000849,2012-09-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052634,Generation,2012,NA,48WSTN1000BABAWQ,132.0,52.0,NA,BABAW,Y,NGET-EMFIP-CONF-00000849,2012-09-19
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052634,Generation,2012,E_BABAW-1,48W00000BABAW-13,,52.0,BABAW-1,BABAW-1,Y,NGET-EMFIP-CONF-00000849,2012-09-19
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052613,Generation,2012,NA,48WSTN0000RSHLWF,132.0,24.0,NA,RSHLW,Y,NGET-EMFIP-CONF-00000849,2012-09-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052613,Generation,2012,NA,48W00000RSHLW-1S,,24.0,NA,RSHLW-1,Y,NGET-EMFIP-CONF-00000849,2012-09-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052612,Generation,2012,NA,48WSTN00000MARKJ,0.0,0.0,NA,MARK,Y,NGET-EMFIP-CONF-00000849,2012-04-06
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052574,Generation,2012,E_GDSTW-1,48W00000GDSTW-14,,13.0,GDSTW-1,GDSTW-1,Y,NGET-EMFIP-CONF-00000849,2012-09-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052574,Generation,2012,NA,48WSTN0000GDSTWE,132.0,13.0,NA,GDSTW,Y,NGET-EMFIP-CONF-00000849,2012-09-29
Configuration document,Production unit,Creation,NGET-EMFIP-CONF-TS-00052536,Generation,2012,NA,48WSTN0000GYMRWD,0.0,0.0,NA,GYMRW,Y,NGET-EMFIP-CONF-00000849,2012-08-08
<EOF>
